Province,Centre,Zone,"Neighbourhood
Quartier","Singles
Individuels","Semis
Jumelés","Row
En bande","Apartment
and Other
Appartements
et autres",Total
Alta/Alb.,Calgary,Downtown ~ Centre-ville,Downtown/Eau Claire ~ Centre-ville/Eau Claire,--,--,--,73,73
Alta/Alb.,Calgary,Downtown ~ Centre-ville,Scarboro/Sunalta,4,2,--,3,9
Alta/Alb.,Calgary,Downtown ~ Centre-ville,Total,4,2,--,76,82
Alta/Alb.,Calgary,Beltline,Misson/Beltline,--,--,--,464,464
Alta/Alb.,Calgary,Beltline,Lower Mount Royal/Cliff Bungalow,5,--,1,--,6
Alta/Alb.,Calgary,Beltline,Bankview,0,2,9,21,32
Alta/Alb.,Calgary,Beltline,Total,5,2,10,485,502
Alta/Alb.,Calgary,North Hill,Rosedale/Sunnyside/Crescent Hts/Renfrew,20,25,4,13,62
Alta/Alb.,Calgary,North Hill,Parkdale/St. Andrews Hts etc.,36,38,5,106,185
Alta/Alb.,Calgary,North Hill,Bridgeland/Riverside,7,3,14,73,97
Alta/Alb.,Calgary,North Hill,Total,63,66,23,192,344
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Altadore/South Calgary/CFB Currie etc. ~ Altadore/Calgary Sud etc.,56,49,52,194,351
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,North Glenmore Park/Lakeview,18,--,3,2,23
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Killarney/Glengarry,13,32,29,36,110
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Wildwood/Spruce Cliff/Shaganappi etc.,15,12,20,9,56
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Glendale/Glenbrook,2,19,--,1,22
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Rutland Park/Glamorgan,1,--,--,--,1
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Strathcona Pk/Christie Pk/Patterson etc.,1,4,--,26,31
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Valley Ridge/Crestmont/Cougar Ridge etc.,156,6,76,175,413
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,Total,262,122,180,443,"1,007"
Alta/Alb.,Calgary,Southeast ~ Sud-Est,Forest Lawn/Forest Heights etc.,2,--,59,10,71
Alta/Alb.,Calgary,Southeast ~ Sud-Est,Dover/Southview/Inglewood/Alyth etc.,4,3,--,122,129
Alta/Alb.,Calgary,Southeast ~ Sud-Est,Southeast Industrial & Surrounding Comm. ~ Secteur industriel du Sud-Est,4,2,16,39,61
Alta/Alb.,Calgary,Southeast ~ Sud-Est,McKenzie Towne/New Brighton etc.,497,83,87,621,"1,288"
Alta/Alb.,Calgary,Southeast ~ Sud-Est,Total,507,88,162,792,"1,549"
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Bowness,14,12,31,45,102
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Winston Hts/Mountview/Tuxedo Park etc.,6,25,30,6,67
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Mount Pleasant,7,26,14,6,53
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,N Haven/Upper N Haven/Thorncliffe etc.,13,10,--,2,25
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Capitol Hill/Rosemont/Banff Trail,12,23,43,5,83
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Montgomery/Point McKay/University Hts,7,15,40,709,771
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Charleswood/Collingwood/Brentwood,10,--,--,165,175
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Varsity,8,--,--,--,8
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Dalhousie,5,--,--,--,5
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Silver Springs/Scenic Acres/Tuscany,2,--,4,--,6
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Ranchlands/Hawkwood/Citadel etc.,19,--,4,5,28
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Sherwood/Kincora/Hamptons/Edgemont,152,10,64,146,372
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Huntington Hills/Evanston etc.,565,188,252,185,"1,190"
Alta/Alb.,Calgary,Northwest ~ Nord-Ouest,Total,820,309,482,"1,274","2,885"
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Vista Heights/Skyline East/Pegasus etc.,1,4,--,1,6
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Meridian/Franklin/Albert Pk/Radisson Hts,2,5,4,--,11
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Marlborough Park/Marlborough/Abbeydale,--,--,--,--,--
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Rundle/Pine Ridge/Monterey Park,3,--,--,--,3
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Whitehorn/Temple,2,--,--,--,2
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Falconridge/Castleridge etc.,679,209,257,341,"1,486"
Alta/Alb.,Calgary,Northeast ~ Nord-Est,Total,687,218,261,342,"1,508"
Alta/Alb.,Calgary,Chinook,Manchester Ind./Roxboro/Erlton,3,0,5,--,8
Alta/Alb.,Calgary,Chinook,Windsor Pk/Meadowlark Pk/Britannia etc.,12,2,--,97,111
Alta/Alb.,Calgary,Chinook,Bel-Aire/Mayfair/Kelvin Grove etc.,6,--,--,--,6
Alta/Alb.,Calgary,Chinook,Fairview Industrial/Fairview/Kingsland,--,--,--,177,177
Alta/Alb.,Calgary,Chinook,Total,21,2,5,274,302
Alta/Alb.,Calgary,Fish Creek,Willow Park/Acadia/Haysboro/Southwood,5,--,--,1,6
Alta/Alb.,Calgary,Fish Creek,Braeside/Bayview/Palliser/Pump Hill etc.,2,--,--,--,2
Alta/Alb.,Calgary,Fish Creek,Canyon Meadows/Woodlands/Woodbine etc.,3,--,--,--,3
Alta/Alb.,Calgary,Fish Creek,Bridlewood/Evergreen/Shawnee Slope etc.,500,125,242,196,"1,063"
Alta/Alb.,Calgary,Fish Creek,Total,510,125,242,197,"1,074"
Alta/Alb.,Calgary,Other Centres ~ Autres centres,Airdrie,522,173,220,7,922
Alta/Alb.,Calgary,Other Centres ~ Autres centres,Cochrane,192,132,92,9,425
Alta/Alb.,Calgary,Other Centres ~ Autres centres,Calgary CMA Remainder ~ Calgary RMR (reste),311,42,12,6,371
Alta/Alb.,Calgary,Other Centres ~ Autres centres,Total,"1,025",347,324,22,"1,718"
Alta/Alb.,Calgary,Total,Total,"3,904","1,281","1,689","4,097","10,971"