Province,Centre,"Census Subdivision
Subdivision de recensement","Singles
Individuels","Semis
Jumelés","Row
En bande","Apartment
and Other
Appartements
et autres",Total
Alta/Alb.,Calgary,Rocky View County (MD),143,8,2,5,158
Alta/Alb.,Calgary,Calgary (CY),"2,879",934,"1,365","4,075","9,253"
Alta/Alb.,Calgary,Chestermere (CY),132,32,--,1,165
Alta/Alb.,Calgary,Cochrane (T),192,132,92,9,425
Alta/Alb.,Calgary,Airdrie (CY),523,173,220,7,923
Alta/Alb.,Calgary,Irricana (T),1,--,--,--,1
Alta/Alb.,Calgary,Beiseker (VL),--,--,--,--,--
Alta/Alb.,Calgary,Crossfield (T),34,2,10,--,46
Alta/Alb.,Calgary,First Nations (Calgary) (R),--,--,--,--,--